GATE_LF_SB: -2391.057,248.9251,-1886.74,335.2625,1,0
LF_J01: -1468.155,319.3914,-1373.928,330.5635,1,1
LF_S01: -822.1562,30.3914,-634.924,29.56358,2,0
LF_S02: 1407.845,207.3913,1051.075,288.5635,1,0
LF_S03: -1767.155,-347.6086,-1424.928,-228.4363,1,0
LF_S04: -2328.421,148.6294,-1843.194,226.4445,1,0
LF_S05: 1344.104,-641.11,1231.936,-592.8164,1,0
LF_S06: -472.6121,184.5312,-423.3463,150.7075,1,0
LF_S07: 1325.532,-51.3055,1459.978,-106.8637,2,0
OffScreenDen_LF: -197.1582,1069.391,-283.9241,311.5635,1,1
Connection: GATE_LF_SB,LF_C03,45,11,4,15,0,2
Connection: GATE_LF_SB,LF_S04,36,5,15,20,3,2
Connection: GATE_LF_SU,LF_A14,2,9,44,15,2,0
Connection: GATE_OF_LF,LF_COAST04,45,12,6,14,0,2
Connection: GATE_OF_LF,LF_COASTSHELTER,36,5,11,21,3,1
Connection: GATE_SI_LF,LF_C05,45,9,6,97,0,2
Connection: LF_A01,LF_E05,4,26,253,25,2,0
Connection: LF_A01,LF_H02,50,10,19,51,0,2
Connection: LF_A01,LF_D06,7,10,42,12,2,3
Connection: LF_A02,LF_C02,45,19,4,20,0,2
Connection: LF_A02,LF_H02,4,6,203,12,2,0
Connection: LF_A03,LF_H01,3,30,410,10,1,3
Connection: LF_A03,LF_E04,44,32,17,3,1,3
Connection: LF_A04,LF_E04,5,30,254,5,1,3
Connection: LF_A04,LF_F02,42,30,8,11,1,3
Connection: LF_A05,LF_J01,3,28,253,43,1,3
Connection: LF_A05,LF_H01,43,29,21,3,1,3
Connection: LF_A05,LF_D08,9,3,199,31,2,1
Connection: LF_A06,LF_F02,5,29,99,11,1,3
Connection: LF_A06,LF_D03,42,27,2,51,1,2
Connection: LF_A06,LF_S02,5,3,22,14,3,0
Connection: LF_A07,LF_C05,23,30,23,8,1,3
Connection: LF_A07,LF_F02,9,2,57,95,3,3
Connection: LF_A10,LF_COAST01,14,15,9,30,3,1
Connection: LF_A10,LF_E03,40,1,7,7,0,3
Connection: LF_A10,LF_D02,6,1,97,49,2,3
Connection: LF_A11,LF_A13,2,29,43,6,1,3
Connection: LF_A11,LF_D04,43,15,6,12,0,2
Connection: LF_A11,LF_A12,5,13,42,5,2,0
Connection: LF_A12,LF_B01,5,29,44,58,1,3
Connection: LF_A12,LF_A13,26,30,7,6,1,3
Connection: LF_A13,LF_C02,2,31,126,5,1,0
Connection: LF_A14,LF_D04,5,12,100,55,3,3
Connection: LF_A14,LF_S05,11,12,14,26,3,1
Connection: LF_A15,LF_H01,30,27,194,6,1,3
Connection: LF_A15,LF_S06,7,7,7,23,3,1
Connection: LF_A17,LF_B02,48,11,2,16,0,2
Connection: LF_B01,LF_D07,18,54,189,20,3,3
Connection: LF_B02,LF_D01,8,45,197,7,3,3
Connection: LF_B02,LF_S07,45,20,24,19,0,2
Connection: LF_B02,LF_C01,18,4,152,15,3,3
Connection: LF_B03,LF_C02,3,21,150,20,2,0
Connection: LF_B03,LF_C01,97,21,4,21,0,2
Connection: LF_B03,LF_B05,46,5,5,48,0,2
Connection: LF_B04,LF_D08,4,32,3,6,2,2
Connection: LF_B04,LF_S03,4,10,24,18,2,0
Connection: LF_B04,LF_E05,96,8,15,10,0,2
Connection: LF_B05,LF_D04,39,13,3,51,0,3
Connection: LF_C03,LF_J01,141,11,18,8,3,3
Connection: LF_COAST01,LF_COAST02,14,9,96,19,2,0
Connection: LF_COAST02,LF_COAST03,3,18,390,7,2,0
Connection: LF_COAST03,LF_COAST04,5,9,94,12,3,0
Connection: LF_D01,LF_E01,15,2,239,2,3,3
Connection: LF_D02,LF_D06,7,1,42,141,2,0
Connection: LF_D02,LF_E01,98,6,14,7,3,3
Connection: LF_D03,LF_E02,10,4,221,1,3,3
Connection: LF_D06,LF_S01,8,143,22,18,1,0
Connection: LF_E02,LF_E03,8,8,241,1,3,0
